epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,113.396,0.68928,3.01475,1.17186,0.0054,0.87777,0.34445,0.28405,0.66975,3.53434,1.09112,0.0002222,0.0002222,0.0002222
2,224.512,0.73564,2.1761,1.18857,0.81754,0.36008,0.58226,0.46666,0.78528,3.01163,1.2282,0.000446491,0.000446491,0.000446491
3,341.583,0.75567,1.88403,1.18116,0.50823,0.59392,0.54491,0.42377,0.78725,2.95528,1.20424,0.000661543,0.000661543,0.000661543
4,452.286,0.80458,1.88257,1.19758,0.55525,0.43725,0.52744,0.38517,0.9664,2.92747,1.3896,0.000867355,0.000867355,0.000867355
5,567.435,0.77383,1.60879,1.19579,0.47481,0.4501,0.46329,0.27124,1.3124,3.12946,1.8419,0.00102301,0.00102301,0.00102301
6,712.084,0.82291,1.61069,1.22221,0.53268,0.59826,0.56617,0.3484,1.27358,2.95422,1.70951,0.00100101,0.00100101,0.00100101
7,871.562,0.86753,1.59969,1.2857,0.58148,0.73962,0.65441,0.4732,1.08757,2.2987,1.5163,0.000979013,0.000979013,0.000979013
8,1032.24,0.77008,1.53471,1.18908,0.54465,0.57668,0.54574,0.33808,1.21419,2.60527,1.58016,0.000957015,0.000957015,0.000957015
9,1197.2,0.78164,1.50649,1.19806,0.61453,0.60104,0.64057,0.48026,1.01222,2.30003,1.42195,0.000935018,0.000935018,0.000935018
10,1348.93,0.7728,1.42467,1.19736,0.73361,0.64197,0.67621,0.46868,1.05583,2.19466,1.46374,0.00091302,0.00091302,0.00091302
11,1456.91,0.78217,1.33282,1.21574,0.59072,0.72526,0.66126,0.48463,0.96953,2.05523,1.37269,0.000891022,0.000891022,0.000891022
12,1570.82,0.77133,1.26907,1.18509,0.69965,0.63541,0.68396,0.48982,1.02024,2.16444,1.39611,0.000869024,0.000869024,0.000869024
13,1692.71,0.69088,1.29408,1.12561,0.60984,0.66533,0.67868,0.51795,0.88866,2.04163,1.28716,0.000847026,0.000847026,0.000847026
14,1810.32,0.70835,1.27726,1.1525,0.64794,0.75622,0.71775,0.55261,0.87494,1.73062,1.31058,0.000825029,0.000825029,0.000825029
15,1929.18,0.71477,1.23375,1.16844,0.65635,0.8007,0.73267,0.5537,0.90761,1.68122,1.32674,0.000803031,0.000803031,0.000803031
16,2041.86,0.6781,1.22904,1.11893,0.71226,0.76417,0.75983,0.59933,0.82008,1.61848,1.17927,0.000781033,0.000781033,0.000781033
17,2155.3,0.70743,1.11196,1.12452,0.75656,0.78946,0.79721,0.6311,0.85557,1.36762,1.22332,0.000759035,0.000759035,0.000759035
18,2269.53,0.7007,1.1379,1.12498,0.71771,0.73601,0.72166,0.53826,0.99486,1.7105,1.37224,0.000737037,0.000737037,0.000737037
19,2386.68,0.67663,1.11654,1.12025,0.61018,0.74925,0.73223,0.54554,0.92929,1.70116,1.36755,0.00071504,0.00071504,0.00071504
20,2499.13,0.60471,0.94539,1.07208,0.79983,0.72146,0.77611,0.607,0.78509,1.42778,1.1965,0.000693042,0.000693042,0.000693042
21,2613.43,0.63726,0.96786,1.0918,0.83358,0.76435,0.76481,0.59699,0.8047,1.3158,1.20932,0.000671044,0.000671044,0.000671044
22,2732.39,0.62417,0.9866,1.07954,0.77469,0.76546,0.75895,0.59637,0.88578,1.32023,1.30899,0.000649046,0.000649046,0.000649046
